CODE BARRE;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;LOT;QTE;super Gros;demi gros;pharmacien;PPA;PRIX_SOLDE;PRIX_MIN;LABORATOIRE;fournisseur;ZONE;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;ART_FAMILLE_FR;OK_BLOQUE_VENTE;N°ARTICLE;N°LOT;
621254;AEROSOL MICROLIFE NEB 400 OURS;AEMI0002;;          ;          ;0;5443.1;5545.8;5750;7500.18;5135;5289.05;;28;SR;0.1;0.01;;0;06/09/2022;06/02/2023;APPARIAGE           ;N;2032;2058;
610100;AEROSOL ROSSMAX DESIGN ENFANT NI60;AERO0001;;          ;          ;0;5606.2;5711.98;5976.42;7500.15;5288.87;5447.54;;28-JANV;Z1-A4;0.1;0.01;;0;27/09/2022;06/02/2023;APPARIAGE           ;N;2033;2059;
600477;AEROSOL ROSSMAX NL 100;AERO0002;;          ;          ;1;5241.7;5340.6;5529.99;0;4945;5093.35;;28-JANV;Z7-B1;0.1;0.01;;0;26/09/2024;06/02/2025;APPARIAGE           ;N;2034;2060;
605818;# FARINE BLEDINE EXTRA BANANE FRAISE 200 G;FABL0006;;          ;L3        ;0;388.62;390.52;395;0;384.81;386.71;;61-19-6;Z6;0.1;0.01;;0;31/08/2024;12/09/2024;FARINE              ;N;2035;2061;
605825;# FARINE BLEDINE FRUIT EXOTIQUE   LC  200 G;FABL0007;;          ;L3        ;54;388.62;390.52;395;0;384.81;386.71;;19-6;Z2;0.1;0.01;;0;20/01/2025;20/02/2025;FARINE              ;N;2036;2062;
756305;# LAIT NURSIE #  03 AGE #     400 GR;LANU0003;;          ;0000010183;30;718.08;721.6;723.71;0;711.04;714.56;;19-6;Z2;0.1;0.01;;0;16/02/2025;10/02/2025;LAIT                ;N;2037;2063;
058417;#  LAIT NURSIE BLEDILAIT 03 ETUI 350 GR;LANU0018;;          ;101312052 ;0;604.94;607.92;620;0;596;601.96;;19-61-6;Z6;0.1;0.01;;0;22/10/2023;05/02/2024;LAIT                ;N;2038;2064;
684118;#  CERAVE GEL NETTOYANT ANTI RUGOSITE 236ML;GECE0001;;          ;54W31     ;1;2650;2700;2800;0;2500;2575;;50-CF03-54;Z6-B4;0.1;0.01;;0;29/05/2024;30/12/2024;DERMATOLOGIE        ;N;2039;2067;
743563;# CERAVE CRM LAVANTE HYDRATANTE 236 ML;CRCE0001;;          ;54UN3V    ;0;2491;2538;2700;0;2350;2420.5;;50-54-78-33;Z6-B2;0.1;0.01;;0;05/09/2024;27/11/2024;DERMATOLOGIE        ;N;2040;2068;
597197;#  CERAVE GEL MOUSSANT 236 ML;GECE0002;;          ;54W26V    ;4;2592;2640;2760;0;2424;2520;;33-54;Z6-B2;0.1;0.01;;0;05/09/2024;20/01/2025;DERMATOLOGIE        ;N;2041;2069;
597340;#  CERAVE GEL MOUSSANT 88 ML;GECE0003;;          ;          ;0;1590;1620;1650;1950;1500;1545;;50-54;Z6-B3;0.1;0.01;;0;13/11/2022;12/12/2022;DERMATOLOGIE        ;N;2042;2070;
597326;#  CERAVE CRM LAVANTE HYDRATANTE 88 ML;CRCE0002;;          ;;0;1590;1620;1650;1900;1500;1545;;50-54;Z6-B3;0.1;0.01;;0;13/11/2022;19/12/2022;DERMATOLOGIE        ;N;2043;2071;
478762;VASELINE ADVANCED REPAIR BLANC 200 ML;VASE0001;;          ;          ;0;339.21;345.6;346;420;320.01;329.61;;50-33;Z6-A9;0.1;0.01;;0;18/09/2022;08/05/2023;COSMETIC            ;N;2044;2072;
481663;VASELINE  ALOE SOOTH       VERT 200 ML;VASE0002;;          ;          ;0;636;648;690;0;600;618;;33;Z3-F7;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2045;2073;
479806;VASELINE ESSENTIAL HEAL JAUNE 200 ML;VASE0003;;          ;          ;2;636;648;690;0;600;618;;50-33;Z3-F7;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2046;2074;
195606;#  SERUM ORDINARY AHA 30% + BHA2% PEELING SOL 30 ML;ORDI0003;;          ;          ;2;3021;3078;3220.5;0;2850;2935.5;;50-54;Z6-A1;0.1;0.01;;0;29/05/2024;03/12/2024;DERMATOLOGIE        ;N;2047;2075;
232767;SIGNAL WHITE NOW CC 50 ML;DESI0016;;          ;;0;339.2;345.6;360;0;320;329.6;;50;Z3-H5;0.1;0.01;;0;11/09/2022;07/10/2024;COSMETIC            ;N;2048;2076;
738108;DENT SIGNAL WHITE NOW WHITE+PROT 75 ML;DESI0017;;          ;          ;0;402.8;410.4;425;530;380;391.4;;50-33;Z3-G5;0.1;0.01;;0;17/04/2023;15/02/2024;COSMETIC            ;N;2049;2077;
;GANT LATEX GLOVI  LARGE;GALA0005;;          ;;0;1441.58;1468.75;1496.06;1900;1360.04;1400.81;;59-22;Z4;0.1;0.01;;0;14/12/2022;26/02/2024;PARA MEDICALE       ;N;2050;2078;
314831;NOREVA EXFOLIAC CRM REPARATRICE 40 ML;CREX0002;;          ;15        ;5;2838.36;2891.92;2999.02;3750.12;2677.7;2758.03;;CF03-28;SR;0.1;0.01;;0;20/01/2024;25/05/2023;DERMATOLOGIE        ;N;2051;2079;
;GANT LATEX GLOVI  MEDIUM;GALA0004;;          ;;0;1441.56;1468.8;1496.04;1999.98;1359.97;1400.83;;59-22;Z4;0.1;0.01;;0;14/12/2022;15/02/2024;PARA MEDICALE       ;N;2052;2080;
000565;COMPRIME NOETTOYAGE FIXYPLUS BT/32;CODE0001;;          ;2005059   ;0;546.13;556.4;575;700;506;530.64;;CF03-16;Z3-A6;0.1;0.01;;0;12/03/2023;27/03/2023;PARA PHRMACIE       ;N;2053;2081;
;TESTE DE GROSSESSE DIAGUS  BT/40;TEGR0004;;          ;00721004  ;0;31.75;32.35;34.85;100;29.95;30.85;;59;Z3-H4;0.1;0.01;;0;08/09/2022;15/11/2022;PARA MEDICALE       ;N;2054;2082;
;POCHE THERMOGEL  HOTCOLD BLEU   GM;THER0004;;          ;          ;0;583;594;594;0;550;566.5;;CF03-64-81-83;Z4;0.1;0.01;;0;03/08/2023;01/07/2024;PARA MEDICALE       ;N;2055;2083;
000084;SHP HIPOSOL ANTI POUX 250 ML;SHHI0003;;          ;01        ;0;243.81;248.32;252.84;0;228.01;237.04;;62-28-16;Z4-D1;0.1;0.01;;0;29/01/2025;10/02/2025;PARA PHRMACIE       ;N;2056;2084;
000091;LOTION HIPOSOL ANTI POUX 250 ML;LOHI0001;;          ;1660      ;0;281.29;286.59;305.34;369.99;265.38;273.3;;62-16;Z5;0.1;0.01;;0;29/05/2024;09/06/2024;PARA PHRMACIE       ;N;2057;2085;
000107;TALC HIPOSOL ANTI POUX 200 ML;TAHI0003;;          ;1500      ;19;280.03;288.04;293.37;0;269.37;274.7;;62-28;Z5-B3;0.1;0.01;;0;16/01/2025;03/02/2025;PARA PHRMACIE       ;N;2058;2086;
800096;CRM PIGMENTBIO SENSITIVE AREAS;BIOD0023;SOIS ECLAIRCISSANT;          ;0021      ;0;2385;2430;2500;3200;2250;2317.5;;CF03;SR;0.1;0.01;;0;07/09/2022;03/10/2022;DERMATOLOGIE        ;N;2060;2088;
001256;CRM BIONNEX ECLAIRCISSANTE ZONE SENSIBLE 50 ML;CRBI0005;ZONE SENSIBLES;          ;001       ;3;2473.33;2520;2566.66;3080;2333.33;2403.33;;28;Z6-B3;0.1;0.01;;0;26/11/2024;09/09/2024;DERMATOLOGIE        ;N;2061;2089;
114016;OMEGA 3  OMEVIE 1000 CAPSULES;OMEG0006;;          ;5864      ;0;1120.22;1141.35;1162.49;1395;1056.81;1088.51;;62;Z3-D7;0.1;0.01;;0;08/09/2022;03/04/2023;COMPLEMENT ALLIMENTA;N;2062;2090;
049352;PASTILLE PECTOL FRESH;PAPE0002;;          ;420062    ;0;1240.2;1263.6;1299.99;1650.05;1170;1205.1;;26-CF03;Z3-D4;0.1;0.01;;0;19/09/2022;28/11/2022;COMPLEMENT ALLIMENTA;N;2063;2091;
625210;COMPRIME CALMYZEN BT/20;CALM0002;;          ;2201      ;0;1606.01;1636.31;1666.61;1999.93;1515.1;1560.55;;28-29;Z3-D6;0.1;0.01;;0;22/12/2022;29/01/2023;COMPLEMENT ALLIMENTA;N;2064;2092;
000262;DENT EXTRA SENSITIVE 100 GR;DEEX0007;;          ;2222510001;0;104;105;115;0;100;103;;28-40;Z3-D5;0.1;0.01;;0;12/12/2024;03/02/2025;COSMETIC            ;N;2065;2093;
010290;BIBERON VERRE COCCO  A/B  120 ML    C/2318;BIVE0015;;          ;          ;0;233.2;237.6;246.4;0;220;226.6;;16;ZZ10;0.1;0.01;;0;19/06/2024;28/10/2024;BEBE                ;N;2066;2099;
000170;DENT MISWAK GEL 50 GR;DEMI0011;;          ;2044130001;0;78.75;81;84;0;75.75;77.25;;28-40-92-43;Z3-H6;0.1;0.01;;0;05/12/2024;25/12/2024;COSMETIC            ;N;2067;2100;
033880;MUSTELA SERUM MATERNITE VERGETURE;MUST0011;;          ;N106      ;0;2594.88;2643.84;2735.88;3499.91;2448;2521.44;;16;SR;0.1;0.01;;0;11/09/2022;02/08/2023;BEBE                ;N;2068;2101;
007667;SAVON BEBE SEBAMED DERMATOLOGIQUE;SEBA0006;;          ;10002118  ;0;401.52;409.09;416.67;500;378.79;390.15;;16;Z6-B5;0.1;0.01;;0;10/11/2022;19/06/2023;BEBE                ;N;2069;2102;
;VITAMOS BONBON BT/24;BOVI0001;;          ;002       ;0;72.98;74.36;77.45;100;68.85;70.92;;16;Z3-A6;0.1;0.01;;0;02/10/2022;06/07/2024;COMPLEMENT ALLIMENTA;N;2070;2103;
000688;TEST D OVULATION  CIC BT/5;TEOV0001;;          ;L2102C    ;0;496.08;505.44;525;680;468;482.04;;16-CF03;Z3-J2;0.1;0.01;;0;04/01/2023;28/01/2023;PARA PHRMACIE       ;N;2071;2104;
060002;TIRE LAIT ELECTRIQUE KIDS HEAVEN KHAE6;TLEL0001;;          ;          ;0;14829.4;15109.2;15700;20000;13990;14409.7;;16;SR;0.1;0.01;;0;11/09/2022;18/02/2024;APPARIAGE           ;N;2072;2105;
100015;LYSOPAY MAL DE GORGE APHTES BT/12;LYSO0001;;          ;75-40     ;15;473.7;482.64;491.58;589.9;446.89;460.3;;29-16;Z3-F5;0.1;0.01;;0;30/06/2024;16/01/2025;COMPLEMENT ALLIMENTA;N;2073;2106;
;#  CERAVE HUILE LAVANTE 236 ML;CERA0001;;          ;          ;0;2597;2817.5;2950;3500;2450;2523.5;;54-26;Z6-B4;0.1;0.01;;0;13/11/2022;16/01/2023;DERMATOLOGIE        ;N;2074;2107;
738542;DENT SIGNAL WHITE FOREVER   75 ML;DESI0018;;          ;          ;0;296.8;302.4;312.93;400.01;280;288.4;;46;Z3-G5;0.1;0.01;;0;12/09/2022;15/02/2024;COSMETIC            ;N;2075;2108;
735336;DENT SIGNAL WHITE ORIGINAL BLEU 75 ML;DESI0019;;          ;;0;296.8;302.4;312.93;400;280;288.4;;46;Z3-G5;0.1;0.01;;0;12/09/2022;13/02/2023;COSMETIC            ;N;2076;2109;
738092;DENT SIGNAL WHITE PROTECTION COMPLET;DESI0020;;          ;          ;0;296.8;302.4;312.93;400;280;288.4;;46;;0.1;0.01;;0;12/09/2022;19/09/2022;COSMETIC            ;N;2077;2110;
738115;DENT SIGNAL WHITE SOINS GENCIVE;DESI0021;;          ;          ;0;296.8;302.4;312.93;400;280;288.4;;46;;0.1;0.01;;0;12/09/2022;13/02/2023;COSMETIC            ;N;2078;2111;
7062/9583;STICK DOVE WOMEN SAVONETTE;STDO0003;;          ;          ;3;636;648;666;0;600;618;;40-10;Z3-K6;0.1;0.01;;0;01/04/2024;03/02/2025;COSMETIC            ;N;2079;2112;
109385;DENT SENSODYNE MULTI PROTECTION BLANCHEUR 75 ML;DESE0008;;          ;2103      ;0;779.1;793.8;815.85;1000;735;757.05;;40-28;Z3-H6;0.1;0.01;;0;04/04/2023;08/10/2023;COSMETIC            ;N;2080;2113;
819921;HUIL DE NIGELLE PM 25 ML;HUNI0001;;          ;AH12      ;0;169.6;172.8;176;250;160;164.8;;40;Z5-A3;0.1;0.01;;0;12/09/2022;07/11/2022;COSMETIC            ;N;2081;2114;
819983;HUILE DE NIGELLE GM 50 ML;HUNI0002;;          ;AH12      ;0;212;216;220;280;200;206;;40;Z5-A3;0.1;0.01;;0;12/09/2022;22/02/2024;COSMETIC            ;N;2082;2115;
;STICK REXONA;STRE0001;;          ;1204L     ;0;667.8;680.4;693;0;630;648.9;;40;Z5-A3;0.1;0.01;;0;23/08/2023;26/11/2023;COSMETIC            ;N;2083;2116;
111776;TENSIOMETRE AUT OMRON M4 INTEL IT;TEOM0003;;          ;          ;0;13059.2;13305.6;14044.8;0;12320;12689.6;;16;Z7-D4;0.1;0.01;;0;21/07/2024;13/01/2025;APPARIAGE           ;N;2084;2118;
103580;PASTILLE STREPSILS CITRON S / SUCRE BT/24;PAST0001;;          ;MR898     ;0;636;648;670.56;0;600;618;;28-29-62-16;Z3-K4;0.1;0.01;;0;17/08/2023;06/07/2024;COMPLEMENT ALLIMENTA;N;2085;2119;
103603;PASTILLE STREPSILS MIEL CITRON BT/24;PAST0002;;          ;MR455     ;0;636;648;670.56;850.02;600;618;;28-29-62-16;Z3-K4;0.1;0.01;;0;17/08/2023;22/07/2024;COMPLEMENT ALLIMENTA;N;2086;2120;
103597;PASTILLE STREPSILS ORANGE VIT C BT/24;PAST0003;;          ;MW372     ;0;636;648;670.56;850;600;618;;28-29-62-16;Z3-K4;0.1;0.01;;0;17/08/2023;22/07/2024;COMPLEMENT ALLIMENTA;N;2087;2121;
900021;SP FENUGREC CHAIMA ENFANT FRAMBOISE;SIFE0008;;          ;50        ;0;109.18;111.24;115.36;150;103;106.09;;28;Z3-C8;0.1;0.01;;0;04/04/2024;04/09/2024;COMPLEMENT ALLIMENTA;N;2088;2122;
900021;SP FENUGREC CHAIMA ENFANT BANANE;SIFE0009;;          ;63        ;17;109.18;111.24;115.36;150;103;106.09;;29;Z3-D8;0.1;0.01;;0;21/11/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;2089;2123;
900021;SP FENUGREC CHAIMA ENFANT CHOCOLAT;SIFE0010;;          ;65        ;3;109.18;111.24;115.36;150;103;106.09;;28;Z3-D8;0.1;0.01;;0;22/08/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;2090;2124;
900021;SP FENUGREC CHAIMA ENFANT FRAISE;SIFE0011;;          ;51        ;3;109.18;111.24;115.36;150;103;106.09;;29;Z3-D8;0.1;0.01;;0;22/08/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;2091;2125;
900021;SP FENUGREC CHAIMA ENFANT MIEL;SIFE0012;;          ;71        ;0;109.18;111.24;115.36;150;103;106.09;;29;Z4;0.1;0.01;;0;04/05/2023;16/05/2024;COMPLEMENT ALLIMENTA;N;2092;2126;
700299;DENT DABUR HERBL AVEC BAD 150 GR;DEDA0002;;          ;          ;0;270.3;275.4;285.6;0;255;262.65;;40-90-43-28;Z3-H6;0.1;0.01;;0;11/03/2024;10/12/2024;COSMETIC            ;N;2093;2128;
000072;COMPRIME APHTUS BT/ 10;COAP0001;;          ;22014     ;14;465.75;474.54;483.33;580;439.39;452.57;;28-JANV;Z3-A5;0.1;0.01;;0;23/10/2024;03/02/2025;COMPLEMENT ALLIMENTA;N;2095;2130;
;SOUS ESSELLE POUR BEQUILLE;SOES0001;MP-H4;          ;          ;10;168.54;171.72;200;0;159;163.77;;28-20;Z3-H2;0.1;0.01;;0;06/10/2024;05/12/2024;PARA MEDICALE       ;N;2096;2131;
001027;LCA AKNORM EMULSION SEBOREGULATRICE 40 ML;LCA00007;;          ;003       ;0;1252.7;1276.36;1358.86;1735;1225.4;1217.27;;CF03-28-1;Z6-C2;0.1;0.01;;0;16/04/2024;09/01/2025;DERMATOLOGIE        ;N;2097;2132;
600209;ULTRA BIOTIQUE ENFANT SACHET  BT/07;ULBI0003;;          ;01112026  ;26;799.02;814.09;829.17;995;753.79;776.4;;106-28-1-16;Z3-A3;0.1;0.01;;0;12/02/2025;13/02/2025;COMPLEMENT ALLIMENTA;N;2098;2133;
;GLUTA-C GREEN HEALTH   BT/ 30 CP;GLUT0001;;          ;;5;1043.86;1063.55;1083.25;1299.9;984.77;1014.31;;CF03-28-29;Z3-A6;0.1;0.01;;0;26/06/2024;24/06/2024;COMPLEMENT ALLIMENTA;N;2099;2134;
100458;POMMADE ARTICURE PLUS 50 GR;ARTI0002;;          ;;10;385.46;392.73;400;480;363.64;374.55;;CF03-16-113;Z3-C6;0.1;0.01;;0;22/02/2025;02/11/2024;COMPLEMENT ALLIMENTA;N;2100;2135;
100250;ARTICURE AMPOULE BUVABLE  10 ML B/T30;ARTI0003;;          ;;11;2405.08;2450.46;2495.83;2995;2268.94;2337.01;;CF03-16;Z3-B7;0.1;0.01;;0;30/06/2024;28/07/2024;COMPLEMENT ALLIMENTA;N;2101;2136;
000522;SPRAY URIAGE EAU THERMAL 300 ML;SPUR0001;;          ;;0;1252.81;1276.04;1300;0;1171.62;1217.96;;CF03-52-50-28;Z6-C1;0.1;0.01;;0;29/10/2023;06/11/2023;DERMATOLOGIE        ;N;2102;2137;
021605;DENT COLGATE HERBEL 50 ML;DECO0003;;          ;CN123K    ;0;153.7;156.6;159.5;200;145;149.35;;26;Z3-G5;0.1;0.01;;0;15/09/2022;23/10/2022;COSMETIC            ;N;2103;2138;
133545;DENT COLGATE HERBEL 100 ML;DECO0004;;          ;CN122K    ;0;312.7;324.5;330.4;0;295;303.85;;26-40-77;Z3-H7;0.1;0.01;;0;14/12/2023;01/01/2024;COSMETIC            ;N;2104;2139;
482318;VASELINE  ALOE SOOTH       VERT 400 ML;VASE0005;;          ;          ;3;826.8;842.4;897;0;780;803.4;;33;Z3-K8;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2105;2140;
480369;VASELINE ADVANCED REPAIR BLANC 400 ML;VASE0004;;          ;          ;4;826.8;842.4;897;0;780;803.4;;33;Z3-K8;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2106;2141;
484398;VASELINE ESSENTIAL HEAL JAUNE 400 ML;VASE0006;;          ;          ;4;826.8;842.4;897;0;780;803.4;;33;Z3-K8;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2107;2142;
483162;VASELINE  COCOA RADIANT    MARRON  400 ML;VASE0007;;          ;          ;4;826.8;842.4;897;0;780;803.4;;33;Z3-K8;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2108;2143;
/;POCHE THERMOGEL  HOTCOLD BLEU   PM;THER0005;;          ;          ;8;477;486;480;0;450;463.48;;64-81-83;Z4-D3;0.1;0.01;;0;03/08/2023;05/02/2025;PARA MEDICALE       ;N;2109;2144;
000013;GANT LATEX GANTH  SMALL;GALA0000;SOFT GLOVE LATEX;          ;          ;0;1091.8;1112.4;1236;0;1030;1060.9;;67-22;Z5;0.1;0.01;;0;21/04/2024;23/09/2024;PARA MEDICALE       ;N;2110;2145;
;GANT LATEX GLOVI  SMALL;GALA0003;                                        ;          ;          ;0;0;0;0;0;0;0;;;;0.1;0.01;;0;;;PARA MEDICALE       ;N;2111;2146;
700488;GANT NITRILE EXAM GLOVE  BLEU SMALL;GANI0001;;          ;;17;1102.4;1123.2;1144;0;1040;1071.2;;90-16;Z4-C4;0.1;0.01;;0;28/10/2024;16/02/2025;PARA MEDICALE       ;N;2112;2147;
095451;GANT NITRILE WINSUN BLEU MEDIUM;GANI0002;;          ;          ;0;1441.6;1468.8;1496;2000.02;1360;1400.8;;67;Z1-A3;0.1;0.01;;0;17/09/2022;11/04/2023;PARA MEDICALE       ;N;2113;2148;
0000060;GANT NITRILE EXAM GLOVE BLEU LARGE;GANI0003;;          ;          ;4;1102.4;1123.2;1144;0;1040;1071.2;;67-90-22-16;Z4-D3;0.1;0.01;;0;28/10/2024;20/02/2025;PARA MEDICALE       ;N;2114;2149;
700242;GANT NITRILE PRO GLOVE NOIR SMALL;GANI0004;;          ;;0;1107.7;1128.6;1201.75;0;1045;1076.35;;28;Z1-A4;0.1;0.01;;0;28/05/2023;10/03/2024;PARA MEDICALE       ;N;2115;2150;
700259;GANT NITRILE PRO GLOVE NOIR MEDIUM;GANI0005;;          ;;0;1107.7;1128.6;1201.75;0;1045;1076.35;;28;Z1-A4;0.1;0.01;;0;04/07/2023;03/01/2024;PARA MEDICALE       ;N;2116;2151;
;GANT NITRILE  NOIR LARGE;GANI0006;;          ;;0;1134.2;1155.6;1284;0;1070;1102.1;;67-28-22;Z1-A5;0.1;0.01;;0;21/04/2024;25/04/2024;PARA MEDICALE       ;N;2117;2152;
000053;GANT NITRILE EXAM GLOVE BLEU MEDIUM;GANI0007;;          ;;8;1102.5;1134;1186.5;0;1050;1081.5;;67-28-104-90-16;Z4-B3;0.1;0.01;;0;15/01/2025;16/02/2025;PARA MEDICALE       ;N;2118;2153;
918153;GANT NIVINYL BLEU LARGE;GANI0008;;          ;          ;0;1431;1458;1496.5;2000;1350;1390.5;;67;Z1-C4;0.1;0.01;;0;17/09/2022;20/04/2023;PARA MEDICALE       ;N;2119;2154;
004581;GANT NITRILE BIMEL NOIR     XL;GANI0009;;          ;          ;0;1441.6;1468.8;1496;2000;1360;1400.8;;67;Z1-C1;0.1;0.01;;0;17/09/2022;22/02/2023;PARA MEDICALE       ;N;2120;2155;
001142;BIBERON VERRE DOSEUR 60ML KHA00109C;BIVE0016;COULEUR;          ;          ;105;225.72;229.9;234.08;0;215.27;221.54;;57-28;ZZ10;0.1;0.01;;0;10/08/2024;15/08/2024;BEBE                ;N;2121;2156;
472084;BIBERON BEBE SMART  VERRE S/B 120 ML BS 7208;BIVE0007;;          ;          ;0;211.89;215.89;219.89;300;199.9;205.9;;57;ZZ10;0.1;0.01;;0;18/09/2022;26/06/2023;BEBE                ;N;2122;2157;
;BIBERON BEBE SMART  VERRE A/B 120 ML;BIVE0004;                                        ;          ;          ;0;0;0;0;0;0;0;;;;0.1;0.01;;0;;;BEBE                ;N;2123;2158;
472091;BIBERON BEBE SMART  VERRE S/B 240 ML BS 7209;BIVE0008;;          ;          ;0;222.49;226.69;230.89;320;209.9;216.2;;57;SR;0.1;0.01;;0;11/09/2022;09/12/2024;BEBE                ;N;2124;2159;
;BIBERON BEBE SMART  VERRE A/B 240 ML;BIVE0005;;          ;          ;0;0;0;0;0;0;0;;57;;0.1;0.01;;0;;;BEBE                ;N;2125;2160;
;# SACHET PHARMACIE    PM S/B;SAPH0004;CARTON DE 20 PACKET * 100 SACHET;          ;          ;25;1208.02;1230.81;1265;0;1139.64;1173.83;;65;Z1;0.1;0.01;;0;05/09/2024;17/02/2025;PARA PHRMACIE       ;N;2126;2161;
FVC-36;BLOUSE FEMME COL V  COULEUR T 36;BLFE0009;;          ;          ;13;1058.4;1078;1100;0;989.8;1029;;60-CF05;Z7-E5;0.1;0.01;;0;19/11/2024;19/11/2024;PARA PHRMACIE       ;N;2127;2162;
FVC-38;BLOUSE FEMME COL V  COULEUR T 38;BLFE0010;;          ;          ;12;1029;1058.4;1100;0;989.8;999.6;;60-CF05;Z7-F1;0.1;0.01;;0;19/11/2024;14/01/2025;PARA MEDICALE       ;N;2128;2163;
FVC-40;BLOUSE FEMME COL V  COULEUR T 40;BLFE0011;;          ;          ;5;954;981.26;1100;0;917.66;935.83;;60-CF05;Z7-E5;0.1;0.01;;0;19/11/2024;19/11/2024;PARA MEDICALE       ;N;2129;2164;
FVC-42;BLOUSE FEMME COL V  COULEUR T 42;BLFE0012;;          ;          ;9;1029;1058.4;1100;0;989.8;999.6;;60-CF05;Z7-E4;0.1;0.01;;0;19/11/2024;19/11/2024;PARA MEDICALE       ;N;2130;2165;
FVC-44;BLOUSE FEMME COL V  COULEUR T 44;BLFE0014;;          ;          ;8;932.8;968;1050.02;0;880;906.4;;60;Z7-E2;0.1;0.01;;0;08/08/2024;03/02/2025;PARA PHRMACIE       ;N;2131;2166;
483094;VASELINE  COCOA RADIANT MARRON 200 ML;VASE0008;;          ;10830     ;0;636;648;690;0;600;618;;33;Z3-F7;0.1;0.01;;0;14/07/2024;17/12/2024;COSMETIC            ;N;2132;2167;
305270;## DIAMOX 250 MG      @;DIAM0001;;          ;;9;1378;2000;2100.02;0;1300;1339;;35-85;EP;0.1;0.01;;0;28/07/2024;03/02/2025;MEDICAMENT          ;N;2133;2168;
;DOLIPRANE 100 MG;DOLI0001;;          ;          ;0;583.02;594;600;750.01;549.99;566.5;;35;EP;0.1;0.01;;0;20/09/2022;29/09/2022;MEDICAMENT          ;N;2134;2169;
000029;AKDA HALBA ROMAIN 250 GR;HALB0002;;          ;;0;689;702;734.5;0;650;669.5;;17;Z3-C8;0.1;0.01;;0;14/01/2024;14/01/2024;COMPLEMENT ALLIMENTA;N;2135;2170;
000029;GEL NUIRAX LUBRIFIANT FEMME 40 ML;GENU0003;;          ;002       ;8;714.43;727.91;741.39;889.68;673.99;694.21;;28-16;Z6-A8;0.1;0.01;;0;16/02/2025;10/02/2025;PARA PHRMACIE       ;N;2136;2171;
136254;BIOMAX  FLEXAGEN CP BT/30;FLEX0003;;          ;63579     ;3;859.08;883.62;899.99;1080;826.35;842.72;;28-29-62-16-1;Z3-B2;0.1;0.01;;0;12/01/2025;06/02/2025;COMPLEMENT ALLIMENTA;N;2137;2172;
000015;COLLIER CERVICAL SOUPLE PANARTHRO T  L;COPA0001;                                        ;          ;          ;0;488.76;497.98;516.42;0;461.09;474.92;;;Z9;0.1;0.01;;0;01/01/2024;20/01/2024;ORTHOPEDIE          ;N;2138;2173;
000015;COLLIER CERVICAL SOUPLE PANARTHRO T  M;COPA0002;;          ;          ;5;488.75;497.99;516.43;0;461.11;474.93;;28-29-16;Z9;0.1;0.01;;0;24/11/2024;11/12/2024;ORTHOPEDIE          ;N;2139;2174;
000015;COLLIER CERVICAL SOUPLE PANARTHRO  T  XL;COPA0003;;          ;          ;0;488.76;497.98;516.42;0;461.09;474.92;;28-29;Z1-D4;0.1;0.01;;0;19/04/2023;07/08/2023;ORTHOPEDIE          ;N;2140;2175;
000037;LEBERTRAN HUIL FOI DE MORRUE BT/30;HFM00001;;          ;LB001     ;10;1236.67;1260;1283.34;1540;1166.67;1201.67;;95;Z3-A4;0.1;0.01;;0;05/02/2025;13/02/2025;COMPLEMENT ALLIMENTA;N;2141;2176;
;EVEXIA HUILE FOIE DE MORUE  BT/30;HFM00002;;          ;AF001     ;4;955.61;973.64;991.67;1190;901.52;928.57;;28-29;Z3-M6;0.1;0.01;;0;20/07/2023;16/01/2025;COMPLEMENT ALLIMENTA;N;2142;2177;
100089;BETADERMINE SOLUTION MOUSSANT  IODACRYL 04%  125 ML;BETA0001;;          ;IM88      ;55;212;216;220;265.5;202;206;;28-29;Z7-B8;0.1;0.01;;0;01/12/2024;28/01/2025;PARA PHRMACIE       ;N;2143;2178;
190006;ASPIRATEUR NASAL HIPPOSOL;ASNA0004;;          ;          ;0;222.6;226.8;231;280;210;216.3;;28;ZZ10-G1;0.1;0.01;;0;18/02/2023;29/01/2024;BEBE                ;N;2144;2179;
100218;SOLUTION BETADERMINE 120 ML    CT/ 42 PCS;BETA0003;;          ;24144     ;303;203.94;207.79;211.5;253.96;192.4;198.17;;28-75-BF PHARMA FOUZ;Z4;0.1;0.01;;42;20/01/2025;09/02/2025;ANTI SEPTIQUE       ;N;2145;2180;
